cmp;date;party_id
33610;201606;645
33611;198210;894
33611;198606;894
33611;198910;894
33611;199306;894
33611;199603;894
33611;200003;894
33611;200403;894
33611;200803;894
33611;201111;894
33901;198210;1026
33901;198606;1026
33901;198910;1026
33902;198210;1361
33902;198606;1361
33902;198910;1361
33902;199306;1361
33902;199603;1361
33902;200003;1361
33902;200403;1361
33902;200803;1361
33902;201111;1361
33902;201512;1361
33902;201606;1361
33903;198910;845
33903;199306;845
33903;199603;845
33903;200003;845
33903;200403;845
33903;200803;845
33904;198606;1221
33904;198910;1221
33904;199306;1221
33904;200003;1221
33905;198210;757
33905;198606;757
33905;198910;757
33905;199306;757
33905;199603;757
33905;200003;757
33905;200403;757
33905;200803;757
33905;201111;757
33905;201512;757
33905;201606;757
33906;198910;370
33906;199306;370
33906;200003;370
33906;200403;370
33907;199306;234
33907;199603;234
33907;200003;234
33907;200403;234
33907;200803;234
33907;201111;234
33907;201512;234
33907;201606;234
33908;199603;520
33908;200003;520
33908;200403;520
33908;200803;520
33908;201111;520
33909;200403;1367
33909;200803;1367
33911;201606;2605
34020;200403;1592
34020;200709;1592
34020;200910;1592
34020;201205;1592
34210;198110;614
34210;198506;614
34210;199310;614
34210;199609;614
34210;200004;614
34210;200403;614
34210;200709;614
34210;200910;614
34210;201205;614
34210;201206;614
34210;201501;614
34210;201509;614
34211;198906;1441
34211;198911;1441
34211;199004;1441
34211;199609;1441
34211;200004;1441
34212;201206;1592
34212;201501;1592
34212;201509;1592
34213;201205;2093
34213;201206;2093
34213;201509;2093
34214;201509;2596
34313;198110;1338
34313;198506;1338
34313;198906;1338
34313;198911;1338
34313;199004;1338
34313;199310;1338
34313;199609;1338
34313;200004;1338
34313;200403;1338
34313;200709;1338
34313;200910;1338
34313;201205;1338
34313;201206;1338
34313;201501;1338
34313;201509;1338
34314;199609;720
34340;201501;2346
34340;201509;2346
34410;201509;2165
34511;198110;47
34511;198506;47
34511;198906;47
34511;198911;47
34511;199004;47
34511;199310;47
34511;199609;47
34511;200004;47
34511;200403;47
34511;200709;47
34511;200910;47
34511;201205;47
34511;201206;47
34511;201501;47
34511;201509;47
34512;199310;1412
34512;199609;1412
34710;200709;1179
34710;200910;1179
34710;201205;1179
34720;201205;2092
34720;201206;2092
34720;201501;2092
34720;201509;2092
34730;201205;2091
34730;201206;2091
34730;201501;2091
34730;201509;2091
35060;201510;1273
35110;198304;1535
35110;198510;1535
35110;198707;1535
35110;200203;1535
35110;200502;1535
35110;200909;1535
35110;201106;1535
35110;201510;1535
35120;201510;1781
35210;198010;260
35210;198304;260
35210;198510;260
35210;198707;260
35211;199910;557
35211;200203;557
35211;200502;557
35211;200909;557
35211;201106;557
35211;201510;557
35220;198010;514
35220;198304;514
35220;198510;514
35220;198707;514
35220;199110;514
35220;199510;514
35220;199910;514
35220;200203;514
35220;200502;514
35220;200909;514
35220;201106;514
35220;201510;514
35229;199110;1295
35229;199510;1295
35229;199910;1295
35229;200203;1295
35229;200502;1295
35310;198010;1281
35310;198304;1281
35310;198510;1281
35311;198010;725
35311;198304;725
35311;198510;725
35311;198707;725
35311;199110;725
35311;199510;725
35311;199910;725
35311;200203;725
35311;200502;725
35311;200909;725
35311;201106;725
35311;201510;725
35312;198510;341
